user_id	name
A26AVD5D1SNXIN	crystal
A2MWA7HFUXV8J8	Jcardoso
A7QILJ0KFTUEF	Amazon Customer
A2VEP9IKAW8YBE	Amy
ARXHSWN3RMN93	Dr. KB
A79372WBA9IJM	Miss Kitty
A2Y9VQ0FGLJHWL	Nicholas
A3F2GE88HD8MDC	Jim M.V.
ABU93V5LFXTV1	Dani
A3EHQECWIRDPZ4	Kay Zell
A2H2K1FKI9COQ6	gouttedeplui
A1UFPZUUATIGXF	RedCarpetChic!
AJ9AE2BVND0GS	RETSmile
AO9G5HQYQHLHP	Crissy
A173YMJ9XFVRSY	Amazon Customer
A1UQBFCERIP7VJ	Margaret P.
A28WXDXJA1P0MC	T.C.
AFYLPYJ7AORLR	Girlnextdoor223 
A2B3A8NQIHITO8	P. Costello
A1K1ZKOHP4RQTW	MinorPentatonicAddict
A2VZJKNHWE9B4N	Amazon Customer
A3SN8H1V126IIY	Joki
A2B8GXSCB1R05T	Zack Davisson
A2J557IQKW3GCP	Mrs. Lac
A3KHWY7T46BBAP	Erica
A2E0TJ49NACDBA	DelusionalAngel
A1FMWLZ9YY91XI	K. Kasabian
A12ENBT314RFXR	Patricia Ferdig
A32E70RVY374ZK	bekki
A2ATHY1VLNANIL	C.Farago
ASHMBNORPUHAK	Lori ATL
AMS2CPERWN7JV	Eric Byers
AUZ3EJAU37NC5	OLT
A1MD9AEU9C4WJN	uniq
A7QQCZK96JMS6	Kelly Zimmer
A38FB414U3B72L	TINA STOCKLEY
A3HVX4YYJLXAFD	Beauty addict
A2YDJ928L04Q1C	AnnML
A3094EPI56GKZ6	Kristen B
AJRNC98E2ADGL	AngieG
A3JUHP1E3WUHEA	Dr. Stuart Gitlow
A2JNO9OR8FGNR4	MusingCrow
A3OC93X866Z8TB	Summer Girl
A33ROMADEKHQ4V	SAS
A3HG5MZ9QJMINU	USLOESJE
A6G24O29K0P6R	Eduardo Serer
A3AH1V1W7J98WZ	Debbie
A1TV61AKAPGSMP	Wade T. Orloski
A89ZZKNDFQH23	Delaney
A3Q0U1143BFYTU	BJT
A1STC2PCXN65A1	Shari
A2B9G3FN56R86G	Nolan Moskowitz
A2FI3GQHTBZC5	Jesse K.
A2H667ZUNLNTF1	Wendi Barker
A1R3IUM1KVYK5I	Rana
A35Q0RBM3YNQNF	M. Hill
A2L77YQRAEA1YZ	ELLE
A7H3BAK83N2TA	BH
A1UINGIK3UG77D	Suzanne R. Arnholt
A14MSHFCXPARFS	A Romero
A1278GKNIB8UZ	Rachel  Taylor
A3091RP0SPZLMN	BB
A1TN2EZ7S2FTH2	Midwest Yvonne
AMLA0B6EHD4OS	Stacey
A29Q8R8DW9V6H3	Bonnie Moon
A2ZGPAIV64KOYU	Curious Epicure
A1IH42TUIZ2XJL	The Gabster
A351804L86H9Z6	Christy Moynihan
